Title,Land Size,Location,Total Price,Monthly Payment
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
House For Sale In Yakkala,"Beds-2, Baths-2 Size-1500sqft",,"12,000,000","170,500"
House For Sale In Kotte,"Beds-5, Baths-3 Size-2760sqft",,"29,000,000","412,041"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
House For Sale In Divulapitiya,"Beds-4, Baths-2 Size-2100sqft",,"17,500,000","248,645"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-4500sqft",,"125,000,000","1,776,037"
House For Sale In Nattandiya,"Beds-4, Baths-2 Size-4000sqft",,,
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kahathuduwa,24 Perches,,"9,360,000","132,990"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Horana,10 Perches,,,
Land For Sale In Nawattuduwa,10 Perches,,"2,700,000","38,362"
House For Sale In Minuwangoda,"Beds-6, Baths-2 Size-2000sqft",,"21,000,000","440,457"
House For Sale In Torayaya,"Beds-3, Baths-1 Size-1925sqft",,"4,800,000","68,200"
Half Built House For Sale In Mirigama,"Beds-1, Baths-1 Size-1000sqft",,"6,500,000","92,354"
Land For Sale In Beruwala,79 Perches,,"23,000,000","326,791"
House For Rent In Maharagama,"Beds-3, Baths-2 Size-2000sqft",,,"55,000"
Land With House For Sale In Athurugiriya,"Beds-3, Baths-1 Size-sqft",,,
House For Sale In Kataragama,"Beds-2, Baths-1 Size-2800sqft",,"3,000,000","42,625"
House For Sale In Ratmalana,"Beds-7, Baths-5 Size-3291sqft",,"45,000,000","639,373"
House For Sale In Kadawatha,"Beds-5, Baths-3 Size-sqft",,"28,000,000","397,832"
House For Sale In Kadawatha,"Beds-5, Baths-3 Size-sqft",,"28,000,000","397,832"
